city,state,num_restaurants_by_city
"http://dbpedia.org/resource/Waverly,_Iowa","http://dbpedia.org/resource/Brooklyn","1"
"http://dbpedia.org/resource/Rye","http://dbpedia.org/resource/Brooklyn","1"
"http://dbpedia.org/resource/Battle_of_Forts_Clinton_and_Montgomery","http://dbpedia.org/resource/Brooklyn","1"
"http://dbpedia.org/resource/Nanuet_station","http://dbpedia.org/resource/Brooklyn","1"
"http://dbpedia.org/resource/Grand_Island,_Nebraska","http://dbpedia.org/resource/Brooklyn","1"
"http://dbpedia.org/resource/Pearl_River_Delta","http://dbpedia.org/resource/Brooklyn","1"
"http://dbpedia.org/resource/Woodbury,_Minnesota","http://dbpedia.org/resource/Brooklyn","1"
"http://dbpedia.org/resource/Amherst_College","http://dbpedia.org/resource/Brownhelm_Township,_Lorain_County,_Ohio","1"
"http://dbpedia.org/resource/Williston_School","http://dbpedia.org/resource/Burlington,_Vermont","1"
"http://dbpedia.org/resource/Joliet,_Montana","http://dbpedia.org/resource/Burnside,_South_Lanarkshire","1"
"http://dbpedia.org/resource/Coraopolis_Bridge","http://dbpedia.org/resource/Cagliari","1"
"http://dbpedia.org/resource/Audubon,_Iowa","http://dbpedia.org/resource/Camden,_New_Jersey","1"
"http://dbpedia.org/resource/Central_European_Time","http://dbpedia.org/resource/Camden,_South_Carolina","1"
"http://dbpedia.org/resource/Grand_Rapids_Drive","http://dbpedia.org/resource/Cascade_Range","1"
"http://dbpedia.org/resource/Evergreen_Park,_Illinois","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Peoria_Heights,_Illinois","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Berwyn_range","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Minooka_station","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Social_justice","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Frankfurt","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Chicago_Ridge_Mall","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Tinley_Park_station","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Midlothian","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Palatine,_Illinois","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/North_Aurora,_Illinois","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Lisle,_Illinois","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Peoria,_Arizona","http://dbpedia.org/resource/Chicago","1"
"http://dbpedia.org/resource/Buffalo_Grove_ambush","http://dbpedia.org/resource/Chicago","1"
