restaurant,name,address,city,state,postcode,country
http://www.city.ac.uk/ds/inm713/feiphoon#pronto_pizza_303_se_17th_st_ocala_fl_34471_us,Pronto Pizza,303 SE 17th St,Ocala,FL,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#two_mamas_gourmet_211_n_cortez_prescott_az_86301_us,Two Mamas Gourmet,211 N Cortez,Prescott,AZ,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#broad_street_cafe_562_broad_st_newark_midtown_7102_us,Broad Street Cafe,562 Broad St,Newark,Midtown,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#nanuet_restaurant_211_main_st_nanuet_ny_10954_us,Nanuet Restaurant,211 Main St,Nanuet,Ny,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#nanuet_restaurant_211_main_st_nanuet_ny_10954_us,Nanuet Restaurant,211 Main St,Nanuet,Brooklyn,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#nanuet_restaurant_211_main_st_nanuet_ny_10954_us,Nanuet Restaurant,211 Main St,Nanuet,NY,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#good_fellas_pizza_9641_olio_rd_mc_cordsville_woodbury_46055_us,Good Fella's Pizza,9641 Olio Rd,Mc Cordsville,Woodbury,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#laroma_pizzeria_and_resturant_600_floyd_ave_rome_camroden_13440_us,Laroma Pizzeria & Resturant,600 Floyd Ave,Rome,Camroden,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#disalvos_pizza_italian_restaurant_2486_n_federal_hwy_pompano_beach_deerfield_beach_33064_us,Disalvo's Pizza Italian Restaurant,2486 N Federal Hwy,Pompano Beach,Deerfield Beach,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#pasta_loft_241_union_sq_milford_nh_3055_us,Pasta Loft,241 Union Sq,Milford,NH,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#verdiles_572_2nd_ave_troy_pleasantdale_12182_us,Verdile's,572 2nd Ave,Troy,Pleasantdale,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#ginos_pizza_of_babylon_258_deer_park_ave_babylon_gilgo_beach_11702_us,Gino's Pizza of Babylon,258 Deer Park Ave,Babylon,Gilgo Beach,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#tommy_vs_osteria_pizzeria_3223_e_camelback_rd_phoenix_az_85018_us,Tommy V's Osteria Pizzeria,3223 E Camelback Rd,Phoenix,AZ,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#riccardos_pizza_522_saddle_river_rd_saddle_brook_nj_7663_us,Riccardo's Pizza,522 Saddle River Rd,Saddle Brook,NJ,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#zeiderellis_pizza_33_e_simpson_st_mechanicsburg_brandtsville_17055_us,Zeiderelli's Pizza,33 E Simpson St,Mechanicsburg,Brandtsville,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#greeks_pizzeria_8028_s_emerson_ave_indianapolis_in_46237_us,Greek's Pizzeria,8028 S Emerson Ave,Indianapolis,IN,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#ninos_trattoria_and_pizzeria_111_lawrence_rd_lawrence_township_lawrenceville_8648_us,Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,Lawrenceville,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#sir_pizza_madison_st_madison_tn_nan_us,Sir Pizza,Madison St,Madison,TN,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#martinizing_14805_w_64th_ave_arvada_co_80007_us,Martinizing,14805 W 64th Ave,Arvada,CO,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#uncle_bucks_bbq_361_w_main_st_plymouth_pa_18651_us,Uncle Buck's BBQ,361 W Main St,Plymouth,PA,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#poplar_pizza_and_restaurant_127_w_us_highway_54_andover_ks_67002_us,Poplar Pizza & Restaurant,127 W US Highway 54,Andover,KS,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#romeo_s_pizza_117_broad_st_staten_island_ny_10304_us,Romeo S Pizza,117 Broad St,Staten Island,Ny,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#romeo_s_pizza_117_broad_st_staten_island_ny_10304_us,Romeo S Pizza,117 Broad St,Staten Island,NY,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#romeo_s_pizza_117_broad_st_staten_island_ny_10304_us,Romeo S Pizza,117 Broad St,Staten Island,Brooklyn,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#7_day_24_hours_emergency_locks_3502_park_ave_weehawken_nj_7086_us,7 Day 24 Hours Emergency Locks,3502 Park Ave,Weehawken,NJ,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#mamma_lucia_12274_rockville_pike_rockville_no_bethesda_20852_us,Mamma Lucia,12274 Rockville Pike,Rockville,No Bethesda,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#mikes_pizza_and_pasta_803_spartanburg_hwy_hendersonville_nc_28792_us,Mike's Pizza And Pasta,803 Spartanburg Hwy,Hendersonville,NC,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#leons_italian_bistro_and_pizza_8890_porter_rd_niagara_falls_wheatfield_14304_us,Leon's Italian Bistro & Pizza,8890 Porter Rd,Niagara Falls,Wheatfield,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#zis_pizza_1809_1_w_anderson_ln_austin_tx_78757_us,Zi's Pizza,1809 1 W Anderson Ln,Austin,TX,None,US
